model_name, size
abide_caltech_model_segmentation_id03.pth,  29.794 MB
nci_model_segmentation_noBtNk01_0.pth,  1.904 MB
nci_model_segmentation_Att01_vit03-01.pth,  367.363 MB
acdc_model_segmentation_Att01_trans03.pth,  482.467 MB
abide_caltech_model_segmentation_Att01_id01.pth,  1.998 MB
abide_caltech_model_segmentation_Att01_trans05.pth,  152.038 MB
nci_model_segmentation_Att01_noBtNk02_0.pth,  7.760 MB
acdc_model_segmentation_Att01_trans01.pth,  962.942 MB
acdc_model_segmentation_id01_try_0.pth,  1.903 MB
abide_caltech_model_segmentation_Att01_trans05B.pth,  1736.670 MB
nci_model_segmentation_Att01_vit03-02.pth,  403.481 MB
acdc_model_segmentation_Att01_id02_0.pth,  7.761 MB
nci_model_segmentation_noBtNk03_0.pth,  29.768 MB
abide_caltech_model_segmentation_Att01_vit02-02.pth,  356.383 MB
abide_caltech_model_segmentation_id02.pth,  7.496 MB
nci_model_segmentation_trans03_1.pth,  482.379 MB
acdc_model_segmentation_trans04.pth,  1730.801 MB
abide_caltech_model_segmentation_noBtnk01.pth,  978.868 MB
abide_caltech_model_segmentation_trans06B.pth,  510.270 MB
nci_model_segmentation_noBtNk02_1.pth,  7.483 MB
abide_caltech_model_segmentation_tt.pth,  978.868 MB
acdc_model_segmentation_id02.pth,  7.484 MB
nci_model_segmentation_trans06.pth,  77.927 MB
acdc_model_segmentation_Att01_vit02-01_0.pth,  338.312 MB
acdc_model_segmentation_Att01_vit01-01.pth,  329.533 MB
acdc_model_segmentation_Att01_vit02-02_0.pth,  356.370 MB
abide_caltech_model_segmentation_trans04_0.pth,  1730.807 MB
abide_caltech_model_segmentation_Att01_trans06B.pth,  511.295 MB
nci_model_segmentation_Att01_noBtNk03_0.pth,  30.793 MB
acdc_model_segmentation_Att01_trans02_0.pth,  962.942 MB
nci_model_segmentation_Att01_trans01_1.pth,  962.941 MB
nci_model_segmentation_trans05_1.pth,  151.747 MB
acdc_model_segmentation_Att01_trans04_0.pth,  1730.889 MB
nci_model_segmentation_vit03-02.pth,  402.455 MB
abide_caltech_model_segmentation01_perf02.pth,  99.695 MB
abide_caltech_model_segmentation_Att01_noBtNk01.pth,  1.998 MB
acdc_model_segmentation_Att01_vit02-01.pth,  338.312 MB
abide_caltech_model_segmentation_Att01_trans03.pth,  482.473 MB
acdc_model_segmentation_trans03.pth,  482.379 MB
nci_model_segmentation_vit_try_0.pth,  329.444 MB
acdc_model_segmentation_vit02-01.pth,  338.034 MB
nci_model_segmentation_vit03-02_0.pth,  402.455 MB
nci_model_segmentation_Att01_trans05_0.pth,  152.024 MB
abide_caltech_model_segmentation_transAtt_try.pth,  962.860 MB
acdc_model_segmentation_Att01_noBtNk01_0.pth,  1.992 MB
abide_caltech_model_segmentation_vit02-02.pth,  356.105 MB
acdc_model_segmentation_Att01_trans05B_0.pth,  1736.658 MB
abide_caltech_model_segmentation_Att01_vit02-01.pth,  338.324 MB
nci_model_segmentation_vit03-01_1.pth,  366.338 MB
nci_model_segmentation_CSEtrans01.pth,  962.853 MB
nci_model_segmentation_vit01-01_0.pth,  329.444 MB
acdc_model_segmentation_vit02-02_0.pth,  356.093 MB
nci_model_segmentation_Att01_vit03-02_0.pth,  403.481 MB
acdc_model_segmentation_id01_0.pth,  1.904 MB
nci_model_segmentation_trans05B_1.pth,  1736.380 MB
nci_model_segmentation_nci_noBtNk.pth,  1.903 MB
acdc_model_segmentation_trans06_0.pth,  77.929 MB
acdc_model_segmentation_Att01_id02.pth,  7.761 MB
nci_model_segmentation_Att01_id01.pth,  1.992 MB
acdc_model_segmentation_noBtNk03.pth,  29.770 MB
nci_model_segmentation_noBtNk03.pth,  29.768 MB
nci_model_segmentation_Att01_trans05B_1.pth,  1736.657 MB
nci_model_segmentation_Att01_id03.pth,  30.793 MB
acdc_model_segmentation_Att01_id01_0.pth,  1.992 MB
acdc_model_segmentation_Att01_vit02-02.pth,  356.370 MB
nci_model_segmentation_trans01_0.pth,  962.853 MB
nci_model_segmentation_Att01_vit03-01_0.pth,  367.363 MB
nci_model_segmentation_Att01_vit02-01_0.pth,  338.311 MB
nci_model_segmentation_Att01_noBtNk02_1.pth,  7.760 MB
nci_model_segmentation_Att01_id02.pth,  7.760 MB
nci_model_segmentation_trans05.pth,  151.747 MB
acdc_model_segmentation_Att01_id03_0.pth,  30.795 MB
abide_caltech_model_segmentation_trans04.pth,  1730.807 MB
nci_model_segmentation_vit03-02_1.pth,  402.455 MB
abide_caltech_model_segmentation_Att01_trans01.pth,  962.948 MB
abide_caltech_model_segmentation_Att01_vit01-01.pth,  329.539 MB
nci_model_segmentation_trans05_0.pth,  151.747 MB
abide_caltech_model_segmentation_Att01_id03.pth,  30.819 MB
abide_caltech_model_segmentation01_0.pth,  663.851 MB
nci_model_segmentation_id01_0.pth,  1.904 MB
nci_model_segmentation_Att01_trans02_0.pth,  962.941 MB
nci_model_segmentation_trans06_0.pth,  77.927 MB
nci_model_segmentation_CSEid01.pth,  1.903 MB
nci_model_segmentation_noBtNk01_1.pth,  1.904 MB
nci_model_segmentation_Att01_id01_0.pth,  1.992 MB
nci_model_segmentation_CSEtrans04.pth,  1730.800 MB
nci_model_segmentation_id03.pth,  29.768 MB
nci_model_segmentation_Att01_vit01-01_1.pth,  329.532 MB
nci_model_segmentation_trans04_0.pth,  1730.801 MB
acdc_model_segmentation_vit03-02.pth,  402.458 MB
nci_model_segmentation_trans05B_0.pth,  1736.380 MB
nci_model_segmentation_noBtNk02_0.pth,  7.483 MB
nci_model_segmentation_Att01_id03_0.pth,  30.793 MB
abide_caltech_model_segmentation_Att01_vit01-02.pth,  338.568 MB
acdc_model_segmentation_vit03-02_0.pth,  402.458 MB
nci_model_segmentation_CSEnoBtNk01.pth,  1.903 MB
abide_caltech_model_segmentation_transAtt_try_0.pth,  962.948 MB
nci_model_segmentation_Att01_noBtNk02.pth,  7.760 MB
nci_model_segmentation_Att01_vit03-01_1.pth,  367.363 MB
nci_model_segmentation_Att01_vit03-02_0_0.pth,  403.481 MB
nci_model_segmentation_Att01_id02_1.pth,  7.760 MB
nci_model_segmentation_CSEtrans02.pth,  962.853 MB
acdc_model_segmentation_noBtNk01.pth,  1.904 MB
abide_caltech_model_segmentation_noBtNk02.pth,  7.496 MB
nci_model_segmentation_Att01_trans06.pth,  78.952 MB
nci_model_segmentation_Att01_vit02-02_0.pth,  356.369 MB
nci_model_segmentation_Att01_trans03.pth,  482.467 MB
acdc_model_segmentation_Att01_vit03-02_0.pth,  403.483 MB
acdc_model_segmentation_noBtNk02_0.pth,  7.484 MB
nci_model_segmentation_Att01_noBtNk01.pth,  1.992 MB
abide_caltech_model_segmentation_noBtNk01.pth,  1.910 MB
nci_model_segmentation_trans02_0.pth,  962.853 MB
nci_model_segmentation_trans03.pth,  482.379 MB
acdc_model_segmentation_vit02-02.pth,  356.093 MB
nci_model_segmentation_trans02.pth,  962.853 MB
nci_model_segmentation_id02.pth,  7.483 MB
acdc_model_segmentation_trans03_0.pth,  482.379 MB
acdc_model_segmentation_Att01_trans06.pth,  78.954 MB
acdc_model_segmentation_vit02-01_0.pth,  338.034 MB
nci_model_segmentation_Att01_trans03_0.pth,  482.467 MB
nci_model_segmentation_trans04.pth,  1730.800 MB
acdc_model_segmentation_trans06B_0.pth,  510.246 MB
nci_model_segmentation_Att01_trans04_1.pth,  1730.889 MB
nci_model_segmentation_vit02-01_1.pth,  338.033 MB
acdc_model_segmentation_noBtNk01_0.pth,  1.904 MB
nci_model_segmentation_Att01_noBtNk01_0.pth,  1.992 MB
nci_model_segmentation_vit01-02_1.pth,  338.474 MB
nci_model_segmentation_Att01_trans05.pth,  152.024 MB
acdc_model_segmentation_trans01_0.pth,  962.854 MB
acdc_model_segmentation_vit01-01.pth,  329.445 MB
acdc_model_segmentation_vit01-01_0.pth,  329.445 MB
nci_model_segmentation_id02_1.pth,  7.483 MB
abide_caltech_model_segmentation_id01.pth,  1.910 MB
acdc_model_segmentation_Att01_trans04.pth,  1730.889 MB
nci_model_segmentation_Att01_trans01.pth,  962.941 MB
acdc_model_segmentation_Att01_trans06B.pth,  511.271 MB
nci_model_segmentation_CSEtrans03.pth,  482.379 MB
nci_model_segmentation_trans02_1.pth,  962.853 MB
nci_model_segmentation_nci_trans01.pth,  978.861 MB
nci_model_segmentation_Att01_noBtNk01_1.pth,  1.992 MB
abide_caltech_model_segmentation_trans02.pth,  962.860 MB
acdc_model_segmentation_Att01_vit01-02.pth,  338.562 MB
acdc_model_segmentation_id03.pth,  29.770 MB
nci_model_segmentation_vit01-01.pth,  329.444 MB
nci_model_segmentation_Att01_trans04_0.pth,  1730.889 MB
acdc_model_segmentation_Att01_vit03-01.pth,  367.366 MB
